gameCode;gameVersion;dsprotVersion;dsprotFuncMask;regularOvlId;regularOffset;sOvlId;sOffset
A3PJ;0;1.10;10101;-2;0x28f34;-1;0x0
A3YK;0;1.08;111111;6;0x39c;-1;0x0
AEYK;0;1.06;10101;-2;0x5ccdc;-1;0x0
ANMK;0;1.00_2;110011;-2;0x105d80;-1;0x0
ARFK;0;1.23;111111;2;0x0;-1;0x0
ARMK;0;1.23;111111;28;0x0;-1;0x0
AWIK;0;1.06;10101;-2;0xc9074;-1;0x0
AZLE;0;1.22;111111;156;0x0;-1;0x0
AZLK;0;1.26;111111;155;0x0;-1;0x0
AZLP;1;1.22;111111;156;0x0;-1;0x0
B22J;0;1.28;111111;0;0x0;-1;0x0
B2AK;0;1.26;111111;0;0x0;-1;0x0
B2BJ;0;1.26;111111;84;0x0;-1;0x0
B2BX;0;1.26;111111;85;0x0;-1;0x0
B2JJ;0;1.28;111111;4;0xc4;-1;0x0
B2KJ;0;2.01;111111;19;0x210;-1;0x0
B2OK;0;2.01;111111;-1;0x0;0;0x0
B2QJ;0;1.20;111111;0;0x0;-1;0x0
B2UE;0;1.27;111111;23;0x0;-1;0x0
B2UP;0;1.27;111111;23;0x0;-1;0x0
B2WJ;0;1.23;111111;0;0x0;-1;0x0
B2YK;0;1.26;111111;0;0x0;-1;0x0
B35J;0;1.23;111111;10;0x0;-1;0x0
B3CJ;0;1.22;111111;2;0x0;-1;0x0
B3DJ;0;1.27;111111;5;0x4498;-1;0x0
B3GJ;0;2.01;111111;2;0x0;-1;0x0
B3IJ;0;2.01;111111;26;0x0;-1;0x0
B3LJ;0;2.01;111111;35;0x0;-1;0x0
B3RE;0;1.27;111111;0;0x0;-1;0x0
B3RJ;0;1.23;111111;0;0x0;-1;0x0
B3RP;0;1.27;111111;0;0x0;-1;0x0
B3UE;0;1.27;111111;0;0x0;-1;0x0
B3UP;0;1.27;111111;0;0x0;-1;0x0
B3VE;0;1.27;111111;0;0x0;-1;0x0
B3VP;0;1.27;111111;0;0x0;-1;0x0
B3XE;0;1.25;111111;2;0x0;-1;0x0
B3XJ;0;1.25;111111;2;0xa4;-1;0x0
B42J;0;1.25;111111;16;0x0;-1;0x0
B4FJ;0;1.23;111111;179;0x0;-1;0x0
B4KJ;0;2.00;111111;0;0x0;-1;0x0
B4NK;0;1.23;111111;0;0x0;-1;0x0
B4TE;0;1.26;111111;1;0x0;-1;0x0
B4TJ;0;1.27;111111;1;0x0;-1;0x0
B4TP;0;1.26;111111;1;0x0;-1;0x0
B59J;0;1.23;111111;0;0x0;-1;0x0
B5FJ;0;1.28;111111;176;0x0;-1;0x0
B5GJ;0;1.23;111111;0;0x0;-1;0x0
B5KJ;0;1.27;111111;0;0x0;-1;0x0
B5VE;0;2.01;111111;1;0x0;-1;0x0
B62J;0;1.10;100101;6;0x0;-1;0x0
B6KP;0;2.03;111111;46;0x0;50;0x0
B6TE;0;1.28;111111;0;0x93534;-1;0x0
B6TP;0;1.28;111111;-2;0xb49b8;-1;0x0
B6TX;0;1.28;111111;-2;0xb49b8;-1;0x0
B6XJ;0;1.22;111111;583;0x0;-1;0x0
B6ZE;0;1.26;111111;8;0x0;-1;0x0
B6ZJ;0;1.26;111111;8;0x0;-1;0x0
B6ZP;0;1.26;111111;8;0x0;-1;0x0
B74J;0;1.20;111111;0;0x0;-1;0x0
B7HE;0;1.26;111111;2;0x931c;-1;0x0
B7HP;0;1.26;111111;2;0x9340;-1;0x0
B7KJ;0;1.28;111111;41;0x0;-1;0x0
B7XJ;0;1.26;111111;0;0x0;-1;0x0
B86E;0;2.01;111111;0;0x0;-1;0x0
B86P;0;2.01;111111;0;0x0;-1;0x0
B8RJ;0;1.27;111111;7;0x0;-1;0x0
BA5P;0;1.27;111111;0;0x0;-1;0x0
BA7J;2;2.00;111111;0;0x0;-1;0x0
BB4J;0;1.27;111111;2;0x0;-1;0x0
BBJJ;0;1.27;111111;1;0x0;-1;0x0
BBUE;0;1.27;111111;20;0x0;-1;0x0
BBUJ;0;1.23;111111;22;0x0;-1;0x0
BBUK;0;1.23;111111;20;0x0;-1;0x0
BBUP;0;1.27;111111;20;0x0;-1;0x0
BBUY;0;1.27;111111;20;0x0;-1;0x0
BCDK;0;2.01;111111;-1;0x0;0;0x0
BCJK;0;2.01;111111;28;0x0;29;0x0
BCKJ;0;1.25;111111;0;0x0;-1;0x0
BCXJ;0;1.25;111111;11;0x0;-1;0x0
BD2E;0;1.23;111111;2;0x0;-1;0x0
BD2J;0;1.23;111111;2;0x0;-1;0x0
BD2P;0;1.23;111111;2;0x0;-1;0x0
BDGJ;0;1.23;111111;0;0x0;-1;0x0
BDNJ;0;1.22;111111;2;0x0;-1;0x0
BDYD;0;1.28;111111;3;0x0;-1;0x0
BDYE;0;1.28;111111;3;0x0;-1;0x0
BDYF;0;1.28;111111;3;0x0;-1;0x0
BDYP;0;1.28;111111;3;0x0;-1;0x0
BDYY;0;1.28;111111;3;0x0;-1;0x0
BE8J;0;1.27;111111;123;0x0;-1;0x0
BEBD;0;2.03;111111;97;0x0;-1;0x0
BEBF;0;2.03;111111;97;0x0;-1;0x0
BEBI;0;2.03;111111;97;0x0;-1;0x0
BEBJ;0;1.22;111111;88;0x0;-1;0x0
BEBJ;1;1.22;111111;88;0x0;-1;0x0
BEBP;0;2.03;111111;97;0x0;-1;0x0
BEBS;0;2.03;111111;97;0x0;-1;0x0
BEED;0;2.03;111111;97;0x0;-1;0x0
BEEF;0;2.03;111111;97;0x0;-1;0x0
BEEI;0;2.03;111111;97;0x0;-1;0x0
BEEJ;0;1.22;111111;88;0x0;-1;0x0
BEEJ;1;1.22;111111;88;0x0;-1;0x0
BEEP;0;2.03;111111;97;0x0;-1;0x0
BEES;0;2.03;111111;97;0x0;-1;0x0
BEKJ;1;1.23;111111;22;0x0;-1;0x0
BELJ;0;1.20;111111;0;0x0;-1;0x0
BELK;0;1.20;111111;0;0x0;-1;0x0
BETJ;0;1.20;11001;0;0x0;-1;0x0
BEZJ;0;1.27;111111;123;0x0;-1;0x0
BF2J;0;1.25;111111;-2;0x1b19c0;-1;0x0
BFLE;0;1.26;111111;2;0x0;-1;0x0
BFLP;0;1.26;111111;2;0x0;-1;0x0
BFPJ;0;1.22;111111;77;0x0;-1;0x0
BFXE;0;1.22;111111;0;0x0;-1;0x0
BFXJ;0;1.22;111111;0;0x0;-1;0x0
BFXP;0;1.22;111111;0;0x0;-1;0x0
BG3J;0;1.26;111111;82;0x0;-1;0x0
BG5J;0;1.26;111111;17;0x0;-1;0x0
BGTE;0;1.28;111111;0;0x0;-1;0x0
BGTJ;0;1.26;111111;0;0x0;-1;0x0
BGTP;0;1.28;111111;0;0x0;-1;0x0
BGVJ;0;1.22;10101;33;0x0;-1;0x0
BH2E;0;1.26;111111;20;0x0;-1;0x0
BH2P;0;1.26;111111;20;0x0;-1;0x0
BH2X;0;1.26;111111;20;0x0;-1;0x0
BH6J;0;1.27;111111;0;0x0;-1;0x0
BHQJ;0;1.20;111111;9;0x0;-1;0x0
BHXJ;0;1.27;111111;0;0x0;-1;0x0
BIMJ;0;1.20;111111;0;0x0;-1;0x0
BIPJ;0;1.23;111111;13;0x0;-1;0x0
BJ3E;0;1.23;111111;5;0x0;-1;0x0
BJ3J;0;1.23;111111;5;0x0;-1;0x0
