gameCode;saveType;saveSize
A22E;none;0x0
A22J;none;0x0
A22K;none;0x0
A22P;none;0x0
A23E;none;0x0
A23J;none;0x0
A23K;none;0x0
A24E;none;0x0
A24J;none;0x0
A24P;none;0x0
A25J;none;0x0
A26E;none;0x0
A26J;none;0x0
A26P;none;0x0
A27J;none;0x0
A27P;none;0x0
A28J;none;0x0
A29E;none;0x0
A29J;none;0x0
A29P;none;0x0
A2AJ;eeprom;0x2000
A2BJ;eeprom;0x200
A2DC;eeprom;0x2000
A2DE;eeprom;0x2000
A2DJ;eeprom;0x2000
A2DK;eeprom;0x2000
A2DP;eeprom;0x2000
A2FJ;eeprom;0x10000
A2GE;eeprom;0x10000
A2GJ;eeprom;0x10000
A2GP;eeprom;0x10000
A2GX;eeprom;0x10000
A2HE;eeprom;0x200
A2HJ;flash;0x40000
A2HP;flash;0x40000
A2IE;eeprom;0x200
A2IJ;flash;0x40000
A2IP;flash;0x40000
A2JJ;eeprom;0x10000
A2KJ;flash;0x40000
A2LE;eeprom;0x10000
A2LP;eeprom;0x10000
A2ME;eeprom;0x200
A2MP;eeprom;0x200
A2OE;eeprom;0x10000
A2OJ;eeprom;0x10000
A2OP;eeprom;0x10000
A2RJ;eeprom;0x10000
A2SE;eeprom;0x2000
A2TE;eeprom;0x200
A2TP;eeprom;0x200
A2UJ;eeprom;0x2000
A2VE;eeprom;0x200
A2VP;eeprom;0x200
A2WE;eeprom;0x200
A2WJ;eeprom;0x200
A2WX;eeprom;0x200
A2WY;eeprom;0x200
A2XJ;eeprom;0x2000
A2XK;eeprom;0x2000
A2YJ;flash;0x100000
A2ZJ;eeprom;0x200
A32E;none;0x0
A32J;none;0x0
A33J;none;0x0
A34J;none;0x0
A35J;none;0x0
A36E;none;0x0
A36J;none;0x0
A36K;none;0x0
A36P;none;0x0
A37J;none;0x0
A38J;none;0x0
A39E;none;0x0
A39J;none;0x0
A39K;none;0x0
A3AJ;flash;0x80000
A3BJ;eeprom;0x2000
A3DJ;eeprom;0x10000
A3EE;eeprom;0x2000
A3EP;eeprom;0x2000
A3FJ;flash;0x40000
A3FK;flash;0x40000
A3GJ;flash;0x40000
A3GK;flash;0x40000
A3HE;eeprom;0x200
A3HP;eeprom;0x200
A3IE;eeprom;0x2000
A3IJ;eeprom;0x2000
A3IP;eeprom;0x2000
A3KJ;eeprom;0x10000
A3LJ;eeprom;0x2000
A3ME;eeprom;0x2000
A3MJ;eeprom;0x2000
A3MK;eeprom;0x2000
A3MP;eeprom;0x2000
A3OE;eeprom;0x200
A3OJ;eeprom;0x200
A3OP;eeprom;0x200
A3PJ;eeprom;0x200
A3QJ;eeprom;0x10000
A3RE;eeprom;0x2000
A3RP;eeprom;0x2000
A3SD;eeprom;0x200
A3SE;eeprom;0x200
A3SF;eeprom;0x200
A3SH;eeprom;0x200
A3SI;eeprom;0x200
A3SP;eeprom;0x200
A3SS;eeprom;0x200
A3TE;eeprom;0x2000
A3TP;eeprom;0x2000
A3TX;eeprom;0x2000
A3UJ;eeprom;0x200
A3VE;eeprom;0x10000
A3VJ;eeprom;0x10000
A3WE;eeprom;0x2000
A3WP;eeprom;0x2000
A3WU;eeprom;0x2000
A3WX;eeprom;0x2000
A3XE;eeprom;0x200
A3XP;eeprom;0x200
A3YE;eeprom;0x10000
A3YJ;eeprom;0x10000
A3YK;eeprom;0x10000
A3YP;eeprom;0x10000
A3ZJ;eeprom;0x2000
A42J;none;0x0
A43E;none;0x0
A43J;none;0x0
A43K;none;0x0
A43P;none;0x0
A44J;none;0x0
A45J;none;0x0
A45P;none;0x0
A46J;none;0x0
A47J;none;0x0
A48J;none;0x0
A49J;none;0x0
A4AJ;eeprom;0x2000
A4BJ;none;0x0
A4CE;eeprom;0x10000
A4CJ;eeprom;0x10000
A4CP;eeprom;0x10000
A4CX;eeprom;0x10000
A4DJ;eeprom;0x10000
A4EJ;flash;0x40000
A4EP;flash;0x40000
A4FJ;none;0x0
A4FP;none;0x0
A4GJ;eeprom;0x2000
A4HJ;eeprom;0x2000
A4IE;eeprom;0x200
A4IP;eeprom;0x200
A4JJ;eeprom;0x2000
A4KJ;eeprom;0x2000
A4LJ;eeprom;0x2000
A4NJ;eeprom;0x2000
A4OE;flash;0x40000
A4OJ;flash;0x40000
A4OP;flash;0x40000
A4PE;eeprom;0x2000
A4PP;eeprom;0x2000
A4QJ;eeprom;0x200
A4RJ;eeprom;0x2000
A4UJ;eeprom;0x2000
A4VJ;flash;0x40000
A4YJ;eeprom;0x10000
A4YK;eeprom;0x10000
A4ZE;eeprom;0x200
A4ZP;eeprom;0x200
A52J;none;0x0
A53J;none;0x0
A54J;none;0x0
A55E;none;0x0
A55J;none;0x0
A55K;none;0x0
A56J;none;0x0
A57E;none;0x0
A57J;none;0x0
A57K;none;0x0
A57P;none;0x0
A58E;none;0x0
A58J;none;0x0
A58K;none;0x0
A58P;none;0x0
A59E;none;0x0
A5AE;eeprom;0x200
A5AJ;eeprom;0x200
A5AP;eeprom;0x200
A5AX;eeprom;0x200
A5BJ;eeprom;0x2000
A5CJ;eeprom;0x200
A5DJ;eeprom;0x2000
A5EJ;eeprom;0x200
A5FE;eeprom;0x2000
A5FJ;eeprom;0x10000
A5FK;eeprom;0x2000
A5FP;eeprom;0x2000
A5GE;eeprom;0x200
A5HE;eeprom;0x200
A5IE;eeprom;0x200
A5KJ;eeprom;0x10000
A5LE;eeprom;0x2000
A5LP;eeprom;0x2000
A5MJ;eeprom;0x2000
A5OE;eeprom;0x200
A5OP;eeprom;0x200
A5PE;eeprom;0x200
A5PJ;eeprom;0x200
A5PP;eeprom;0x200
A5PX;eeprom;0x200
A5QJ;eeprom;0x200
A5RJ;eeprom;0x2000
A5TE;flash;0x40000
A5TJ;flash;0x40000
A5TP;flash;0x40000
A5UE;flash;0x40000
A5UP;flash;0x40000
A5ZE;eeprom;0x200
A62E;none;0x0
A62J;none;0x0
A62K;none;0x0
A62P;none;0x0
A63E;none;0x0
A63J;none;0x0
A64J;none;0x0
A65J;none;0x0
A66J;none;0x0
A67J;none;0x0
A69J;none;0x0
A6AE;flash;0x40000
A6AJ;flash;0x40000
A6AP;flash;0x40000
A6BE;flash;0x40000
A6BJ;flash;0x40000
A6BP;flash;0x40000
A6CE;flash;0x40000
A6CJ;flash;0x40000
A6CP;flash;0x40000
A6DJ;eeprom;0x2000
A6EJ;eeprom;0x10000
A6FE;eeprom;0x10000
A6FJ;eeprom;0x10000
